workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,43.33563759332457,43.67361671326451,35.04509394115218,41.03677401224456,53.337648765575366,51.12028285270186,34.966830277837,42.007631861239965,41.0685816262228,47.50024472595847,39.18015719974216,42.20965621054408,43.19483838086336,51.19511445845628,39.94063615406376,65.4891992206651
pgbench-50,48.433530671363336,46.84867463054107,33.1196407926472,47.84630792647167,49.66799069352336,57.19577647322159,32.90864963756935,42.43615017937616,46.749167270162005,48.42331895829172,37.94568124055677,43.53465162178731,47.4748080382298,45.82851840373658,43.77130209995583,60.55633030756432
pgbench-10,167.11971642562082,151.19981389334902,127.14244778254172,148.32270898392724,200.1490326793584,170.74715825199584,130.7040988791216,141.59582821979953,140.5811612715953,157.8620289509565,133.44808225673663,143.54917855634432,155.91816019354746,146.09924555851524,143.90852528549263,249.9119483516612
x265,1512.7344139873005,1218.8554998239,926.837810385,1139.4667931607005,1220.7833275265002,1432.1670242492,933.0715452044,1162.8094098152003,1189.6518594072004,1244.3795220424004,1079.6564121427002,1167.2823511480003,1277.8388443793,1251.6701441542004,1155.7991127487,1887.6106649824003
llama,1013.2964108286528,1145.588619611031,860.7132299275403,1211.7320265557437,1408.7738076070762,981.6150973731476,737.827782613479,1217.280282635445,1261.8095278260582,1244.8855948360988,1082.4362284038018,1338.9106765853742,1191.2401472675565,1208.1294578450018,1429.459486685338,1488.57451022159
faiss,19.596140074200008,20.8126740219,21.592467129600003,21.6435926253,17.303346440700004,20.169381582000003,18.908024232300004,21.1944774615,18.432398133300005,21.3418966503,21.10189989660001,20.0041096536,19.439315633100005,18.1561020861,19.79834342100001,35.47335527460001
spark,1709.4355097972164,1528.9018599630242,1381.689649476998,1726.7845050251788,1555.8751999316685,1616.3557657496356,1313.5520110188795,1389.717450407274,1440.286977804419,1725.7794336012887,1431.9359749685786,1477.4670348299935,1600.1208504183387,1617.5431492795055,1537.6030532931147,2710.362544672916
removeDuplicates,139.07641507589386,136.58667862273865,105.97734289698376,130.87683930615066,160.58704488160703,190.7651490778317,106.59079478988262,151.85518035859445,137.8429085794141,149.55410361522536,128.06762817457954,133.03156843009128,141.1790191651233,138.35110407767658,121.5635381370284,196.8150992574517
breadthFirstSearch,189.6502771637629,175.1702405505046,144.72607855963014,176.23214304632202,187.0073325547139,234.7312249659433,147.37775508760706,199.42503040756657,205.52788642558588,204.8294277079628,167.48329489804863,197.22841000132303,195.9059103426696,189.2220662470689,168.50376550253978,271.9761444119734
minSpanningForest,177.55439876558424,179.28443764765973,148.95076634305525,176.0690293312997,193.5363904757788,214.116262142771,147.5633626823701,191.56327891126412,195.7748491210202,214.30145947130572,169.7654726476454,184.2720639184124,188.9166821223149,189.78463129935,177.22401633502878,283.5163277733054
wordCounts,72.26043738919377,65.65822493967127,53.10875150712906,67.70932723149214,73.79182352406224,86.32275433191033,53.05583960925144,67.92638365706951,67.68060448168634,73.14803954170111,64.90100002492512,68.63090879690355,74.63487257185928,69.62620217613895,65.78572002032928,92.58088305217694
suffixArray,968.1245156197948,916.6176395917464,753.6846713859765,915.6181384751676,993.48910676305,1210.6759316082534,752.5516041342132,999.0895323853538,963.6829423422176,1032.7118863003532,868.4584015603195,1008.695821442362,966.6880669797312,927.143333074564,866.6547351105914,1352.2101946372593
convexHull,969.5561506166164,933.5790011852966,691.1631899329855,930.067414217974,1044.1228326172968,957.1784071588012,686.4359882930681,947.9191479298628,1007.9383193913538,1038.1099013623573,791.5257219385437,941.1747509625671,1078.4668833963287,976.2676299253816,863.2049524625917,1240.5523086172711
nearestNeighbors,157.93580882738408,160.40431750696442,114.95184823792296,157.0743094196937,171.09475564686866,193.63655477720647,114.8891013146466,161.44198087559016,167.06442945239934,175.03010245345848,144.2139396376799,164.85641486533922,183.19490601239,178.91508176805607,158.90305514040304,213.0237574221285
nBody,759.3644825210522,610.4837580345717,418.8654503169019,627.0160028050578,642.1413840025454,817.961758830076,419.5530148767485,518.7390411997848,538.5836127239403,572.9344680520069,497.5466222888815,513.4321087192627,665.7812330961118,611.9997805499013,610.1479303672684,711.1732158441191
